STATEA,COUNTYA,AJWME001,AJXCE001,AJXCE002,AJXCE003,AJXCE004,AJXCE005,AJXCE006,AJXCE007,AJXCE008,AJXCE009,AJXCE010,AJXCE011,AJXCE012,AJXCE013,AJXCE014,AJXCE015,AJXCE016,AJXCE017,AJXCE018,AJXCE019,AJXCE020,AJXCE021
4,23,46584,17036,15728,14404,1324,1042,147,94,41,0,54,54,0,0,0,0,0,25,24,237,308,660
4,25,224645,82379,71857,62794,9063,6817,1545,342,133,226,323,323,0,0,0,0,126,265,641,2357,624,6186
4,27,207829,77625,71256,63337,7919,5399,1567,440,419,94,1478,1421,21,0,36,0,113,299,301,1654,485,2039
5,1,18124,7653,7071,6285,786,619,87,36,44,0,2,2,0,0,0,0,0,0,30,255,94,201
5,3,20537,7575,6917,6359,558,303,94,119,0,42,22,22,0,0,0,0,0,0,26,201,254,155
5,5,41219,15889,14861,13292,1569,1358,139,47,22,3,0,0,0,0,0,0,0,19,0,446,39,524
5,7,258980,124323,116622,105814,10808,7353,1566,1185,547,157,172,172,0,0,0,0,52,220,243,1808,518,4688
5,9,37288,15750,14679,12686,1993,1483,402,84,23,1,15,0,0,0,15,0,0,16,20,229,77,714
5,11,10948,4124,3769,3350,419,375,20,0,17,7,0,0,0,0,0,0,0,0,0,81,163,111
5,13,5202,2131,2017,1896,121,82,24,9,4,2,9,9,0,0,0,0,0,2,0,42,28,33
5,15,27887,11534,10501,9420,1081,764,203,100,14,0,4,4,0,0,0,0,0,22,0,311,30,666
5,17,10826,3570,3162,2889,273,222,25,26,0,0,62,62,0,0,0,0,0,0,22,129,122,73
5,19,22385,10398,9408,7995,1413,1037,251,98,27,0,86,86,0,0,0,0,0,2,18,441,52,391
5,21,15061,6161,5772,5206,566,363,116,87,0,0,0,0,0,0,0,0,0,4,0,204,53,128
5,23,25230,9929,9140,8103,1037,888,109,16,23,1,0,0,0,0,0,0,0,0,15,114,85,575
5,25,8226,3147,2926,2659,267,228,38,0,0,1,5,5,0,0,0,0,0,13,0,131,33,39
5,27,23892,9279,8541,7930,611,493,58,51,0,9,6,6,0,0,0,0,0,0,21,531,19,161
5,29,20906,8813,8257,7150,1107,868,164,50,25,0,0,0,0,0,0,0,0,7,0,75,109,365
5,31,105701,47760,44923,39670,5253,4062,696,301,52,142,244,244,0,0,0,0,0,62,37,979,180,1335
5,33,62472,25910,24585,22238,2347,1823,340,51,114,19,51,51,0,0,0,0,0,4,9,526,93,642
5,35,49013,20064,18647,16333,2314,1803,198,170,112,31,56,56,0,0,0,0,71,10,0,291,304,685
5,37,16998,7463,7042,6185,857,609,160,26,62,0,4,4,0,0,0,0,0,11,0,118,81,207
5,39,7432,2887,2645,2280,365,241,106,15,3,0,1,1,0,0,0,0,0,8,38,131,25,39
5,41,11887,4379,4136,3704,432,375,52,2,3,0,11,11,0,0,0,0,0,0,17,87,59,69
5,43,18502,7679,7110,6280,830,621,155,54,0,0,0,0,0,0,0,0,9,35,20,269,40,196
5,45,122416,56787,52963,47523,5440,4137,862,230,106,105,80,48,0,32,0,0,72,99,88,1027,544,1914
5,47,17780,6680,6154,5461,693,446,173,9,65,0,85,59,0,0,0,26,0,0,0,161,39,241
5,49,12139,4027,3580,3309,271,184,81,4,2,0,62,59,0,0,3,0,0,0,0,61,50,274
5,51,98296,39420,36076,31129,4947,4207,462,140,98,40,195,195,0,0,0,0,64,117,99,723,226,1920
5,53,18086,7509,7226,6396,830,612,149,6,11,52,0,0,0,0,0,0,0,0,0,93,29,161
5,55,44623,18205,17378,15450,1928,1636,200,69,5,18,10,10,0,0,0,0,20,51,0,300,128,318
5,57,22018,8693,8208,7088,1120,800,199,68,47,6,33,33,0,0,0,0,0,0,0,123,58,271
5,59,33520,13016,12546,10903,1643,1323,151,86,50,33,28,28,0,0,0,0,0,0,1,243,36,162
5,61,13389,5453,5010,4306,704,510,93,0,5,96,63,63,0,0,0,0,0,0,0,171,18,191
