GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AJWME001,AJWVE001,AJWVE002,AJWVE003,AJWVE004,AJWVE005,AJWVE006,AJWVE007,AJWVE008,AJWVE009,AJWVE010,AJWVE011,AJWVE012,AJWVE013,AJWVE014,AJWVE015,AJWVE016,AJWVE017,AJWVE018,AJWVE019,AJWVE020,AJWVE021,AJXCE001,AJXCE002,AJXCE003,AJXCE004,AJXCE005,AJXCE006,AJXCE007,AJXCE008,AJXCE009,AJXCE010,AJXCE011,AJXCE012,AJXCE013,AJXCE014,AJXCE015,AJXCE016,AJXCE017,AJXCE018,AJXCE019,AJXCE020,AJXCE021,AJXEE001,AJXEE002,AJXEE003,AJXEE004,AJXEE005,AJXEE006,AJXEE007,AJXEE008,AJXEE009,AJXEE010,AJXEE011,AJXEE012,AJXEE013,AJXKE001,AJXKE002,AJXKE003,AJXKE004,AJXKE005,AJXKE006,AJXKE007,AJXKE008,AJXKE009,AJYPE001,AJYPE002,AJYPE003,AJYPE004,AJYPE005,AJYPE006,AJYPE007,AJYPE008,AJYPE009,AJYPE010,AJYPE011,AJYPE012,AJYPE013,AJYPE014,AJYPE015,AJYPE016,AJYPE017,AJYPE018,AJYPE019,AJYPE020,AJYPE021,AJYPE022,AJYPE023,AJYPE024,AJYPE025,AJY2E001,AJY2E002,AJY2E003,AJY2E004,AJY2E005,AJY2E006,AJY2E007,AJY2E008,AJY2E009,AJY2E010,AJY2E011,AJY2E012,AJY2E013,AJY2E014,AJZAE001,AJZVE001,AJZVE002,AJZVE003,AJ0EE001,AJ1CE001,AJ1CE002,AJ1CE003,AJ1CE004,AJ1CE005,AJ1CE006,AJ1CE007,AJ1SE001,AJ1TE001,AJ1TE002,AJ1TE003,AJ14E001,AJ14E002,AJ14E003,AJ14E004,AJ14E005,AJ14E006,AJ14E007,AJ14E008,AJ2ME001,AJ2ME002,AJ2ME003,AJ2ME004,AJ2ME005,AJ2ME006,AJ2ME007,AJ2ME008,AJ2ME009,AJ2ME010,AJ2ME011,AJ2NE001,AJ3EE001,AJ3QE001,NAME_M,AJWMM001,AJWVM001,AJWVM002,AJWVM003,AJWVM004,AJWVM005,AJWVM006,AJWVM007,AJWVM008,AJWVM009,AJWVM010,AJWVM011,AJWVM012,AJWVM013,AJWVM014,AJWVM015,AJWVM016,AJWVM017,AJWVM018,AJWVM019,AJWVM020,AJWVM021,AJXCM001,AJXCM002,AJXCM003,AJXCM004,AJXCM005,AJXCM006,AJXCM007,AJXCM008,AJXCM009,AJXCM010,AJXCM011,AJXCM012,AJXCM013,AJXCM014,AJXCM015,AJXCM016,AJXCM017,AJXCM018,AJXCM019,AJXCM020,AJXCM021,AJXEM001,AJXEM002,AJXEM003,AJXEM004,AJXEM005,AJXEM006,AJXEM007,AJXEM008,AJXEM009,AJXEM010,AJXEM011,AJXEM012,AJXEM013,AJXKM001,AJXKM002,AJXKM003,AJXKM004,AJXKM005,AJXKM006,AJXKM007,AJXKM008,AJXKM009,AJYPM001,AJYPM002,AJYPM003,AJYPM004,AJYPM005,AJYPM006,AJYPM007,AJYPM008,AJYPM009,AJYPM010,AJYPM011,AJYPM012,AJYPM013,AJYPM014,AJYPM015,AJYPM016,AJYPM017,AJYPM018,AJYPM019,AJYPM020,AJYPM021,AJYPM022,AJYPM023,AJYPM024,AJYPM025,AJY2M001,AJY2M002,AJY2M003,AJY2M004,AJY2M005,AJY2M006,AJY2M007,AJY2M008,AJY2M009,AJY2M010,AJY2M011,AJY2M012,AJY2M013,AJY2M014,AJZAM001,AJZVM001,AJZVM002,AJZVM003,AJ0EM001,AJ1CM001,AJ1CM002,AJ1CM003,AJ1CM004,AJ1CM005,AJ1CM006,AJ1CM007,AJ1SM001,AJ1TM001,AJ1TM002,AJ1TM003,AJ14M001,AJ14M002,AJ14M003,AJ14M004,AJ14M005,AJ14M006,AJ14M007,AJ14M008,AJ2MM001,AJ2MM002,AJ2MM003,AJ2MM004,AJ2MM005,AJ2MM006,AJ2MM007,AJ2MM008,AJ2MM009,AJ2MM010,AJ2MM011,AJ2NM001,AJ3EM001,AJ3QM001
"G270","2014-2018",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Minnesota",5527358,5527358,5234594,4438071,336505,53168,260797,1799,7021,137233,3286,133947,292764,167973,5681,5814,1562,388,90812,20534,10023,10511,2879806,2488145,2243581,244564,188406,32398,12849,7018,3893,103390,93750,1918,4242,3216,264,2632,4209,22023,78319,18148,162940,2716866,100087,330114,396501,424117,402565,199727,341844,87285,103350,182483,104096,44697,2167801,1395514,1103647,291867,93217,198650,772287,615196,157091,3731762,44273,567,595,1100,1824,3322,2949,3187,13042,5481,32902,24429,36412,45475,46843,814573,115485,250536,541561,424424,871363,315403,81713,54303,2167801,1914648,79314,15481,63833,58920,6721,52199,63498,14392,49106,51421,15429,35992,68411,2167801,196875,1970926,36245,4379008,3053005,3050676,2931458,119218,2329,1326003,2420473,2420473,2167801,252672,252672,27318,8642,16423,7711,137581,321,54676,2420473,35499,55253,348694,327325,311737,361333,233682,241675,108607,396668,1976,944,211800,"Minnesota",0,0,77,845,2742,1023,1627,292,905,3436,578,3339,77,3385,904,655,388,142,3448,1228,866,1005,6384,6475,6287,3504,2785,1323,775,564,542,2077,2155,261,470,329,90,386,398,923,1742,820,2844,6105,1907,3256,3436,3642,3499,2815,3546,1799,1753,2602,1875,1243,5845,6100,7210,2991,1834,2645,4306,3963,2074,817,1489,141,184,249,310,454,354,462,775,579,1235,1034,1179,1278,1346,5744,1781,2764,4126,3569,5927,3446,2138,1282,5845,5956,1363,867,1447,1608,602,1492,1118,648,1096,1265,1032,1290,276,5845,2442,7048,166,1133,5414,5352,5963,2591,357,5349,2249,2249,5845,3911,3911,1410,704,1007,695,1556,131,1880,2249,1079,1169,2646,3127,2662,3166,2672,2440,1627,2734,1,4,547
"G280","2014-2018",,,"Mississippi","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mississippi",2988762,2988762,2898269,1696952,1121752,12990,28170,654,2858,34893,856,34037,90493,54241,4082,699,143,53,25975,5300,2694,2606,1215697,1148639,1037238,111401,84813,16159,5263,2628,2538,3393,3136,37,27,34,159,522,1104,1233,17028,15999,27779,1187918,38034,133572,186904,198386,174203,72979,163893,30488,33793,74948,49064,31654,1105576,740268,491943,248325,53350,194975,365308,317826,47482,1967314,25771,316,379,696,1682,3578,3735,5285,14309,14786,35278,43121,59762,68510,39137,474505,122059,116918,323976,184334,266274,116055,27736,19112,1105576,1055610,29241,5813,23428,8700,840,7860,8286,1986,6300,3739,298,3441,43567,1105576,186863,918713,23434,2350291,1349340,1338573,1228537,110036,10767,1000951,1316108,1316108,1105576,210532,210532,37625,5503,15771,7384,42981,774,100494,1316108,20546,43114,228952,230982,194186,244340,151893,97738,44847,59510,1983,762,114500,"Mississippi",0,0,722,439,2388,656,816,198,636,2249,275,2263,722,1963,809,250,103,47,1666,701,465,589,6668,6650,6780,2705,2450,1139,546,419,420,477,455,31,42,38,100,178,266,287,860,1034,1254,6626,1552,3087,3790,3436,3082,2336,3263,1488,1555,2421,2068,1522,4591,4546,4323,3182,1957,2714,3706,3722,1600,1317,1227,128,150,285,323,420,388,663,822,941,1433,1605,1936,2243,1333,6022,2652,2869,4388,2841,3998,2724,1256,991,4591,4711,1083,595,1100,722,218,701,535,319,516,395,105,377,395,4591,3132,4484,187,1237,6497,6393,6579,2962,757,6486,346,346,4591,4717,4717,1631,653,1096,804,1853,244,2734,346,1041,1548,3207,2897,2778,3056,2467,2205,1324,1673,1,5,1016
"G290","2014-2018",,,"Missouri","29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Missouri",6090062,6090062,5840957,4848330,699730,23566,115311,6037,9826,138157,2862,135295,249105,160012,5166,3386,1409,625,61336,17171,8502,8669,2855663,2588131,2338107,250024,197852,30070,12789,5774,3539,40311,36497,447,2559,635,173,2536,3338,6147,55495,21955,137750,2717913,95665,314622,389761,440979,416209,186036,364252,85474,95942,186849,94844,47280,2396271,1540575,1152270,388305,107055,281250,855696,702904,152792,4124838,33534,542,679,691,1243,2787,2696,4851,12753,9501,65092,53296,87790,95141,59933,1076664,189766,298310,624735,323751,729543,329182,72419,49939,2396271,2231302,67753,10613,57140,50080,5442,44638,33504,8272,25232,13632,2848,10784,53560,2396271,291283,2104988,29537,4864065,3062496,3044052,2888094,155958,18444,1801569,2775635,2775635,2396271,379364,379364,57916,11109,30202,14433,95841,392,169471,2775635,34492,65982,378096,403112,336024,433433,316974,285885,133539,388098,1976,809,151600,"Missouri",0,0,258,1169,2562,991,1398,655,1373,3173,567,3077,258,2986,727,581,338,247,2632,1309,979,963,7320,8198,7930,3872,3513,1377,1074,586,406,1817,1725,138,407,159,74,445,396,491,1921,1189,2558,7902,2488,4085,4482,5208,4889,3099,4086,1907,2339,2794,2003,1614,6753,6545,7526,4490,2432,3261,5386,5381,2702,1462,1200,142,169,204,224,415,392,560,912,620,1527,1779,2175,2437,1587,7390,2695,3987,5802,3528,7396,4176,1892,1445,6753,6684,1499,710,1564,1475,553,1438,983,591,1012,848,437,756,221,6753,3715,8032,136,1668,6819,6818,7279,3217,829,6890,665,665,6753,6331,6331,2314,1003,1559,1001,1959,183,3804,665,1174,1566,2764,3424,3596,3775,2837,3331,2627,3534,1,4,598
"G300","2014-2018",,,"Montana","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montana",1041732,1041732,1002713,898953,4348,64643,7806,706,486,25771,495,25276,39019,26689,282,2646,141,51,5546,3664,1303,2361,499849,426229,378154,48075,35214,7476,3328,1126,931,3852,3702,14,34,7,95,312,842,6305,25889,3917,32503,467346,35456,88605,96868,91710,58516,17733,34307,5282,6449,13906,10685,7829,423240,260229,208772,51457,17551,33906,163011,130033,32978,714267,3151,73,110,118,71,177,123,115,906,1257,8219,5420,9196,11682,7990,175345,33551,48081,121715,64097,148624,52011,13166,9069,423240,399968,8987,773,8214,7595,424,7171,2873,485,2388,3817,271,3546,52559,423240,44038,379202,29765,838808,532854,529682,507249,22433,3172,305954,505685,505685,423240,82445,82445,9317,1830,4230,1831,43692,338,21207,505685,9322,16085,76593,69800,56580,91219,44181,47723,23861,70321,1977,783,219600,"Montana",0,0,84,234,317,1013,484,168,193,1129,173,1098,84,1083,173,503,72,46,714,477,258,388,2992,2967,3196,1857,1610,719,484,224,200,436,428,22,42,10,56,154,189,598,1039,396,1198,2997,1238,1973,2352,2206,1864,776,1152,420,475,777,734,571,2033,2518,2180,1492,879,1116,2369,2136,1263,774,311,44,57,65,77,70,70,63,213,270,588,447,593,752,532,2595,1211,1355,2058,1776,2617,1403,795,672,2033,2166,599,178,579,562,138,565,314,137,282,245,117,267,587,2033,1255,2315,309,622,2869,2865,2934,946,313,2775,498,498,2033,1887,1887,743,423,462,382,1097,96,1065,498,759,810,1566,1554,1301,1612,1073,1121,1009,1436,1,8,1419
"G310","2014-2018",,,"Nebraska","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nebraska",1904760,1904760,1701479,1512314,88442,13918,43839,1091,1982,39893,785,39108,203281,154149,2418,3364,266,301,34076,8707,4655,4052,980914,892182,803715,88467,66514,12859,5605,2525,964,6531,6131,107,130,38,125,641,1142,4198,26141,6535,43544,937370,61719,161940,173223,165600,138795,57817,84933,16011,17033,32637,17313,10349,754063,484034,379707,104327,31450,72877,270029,219665,50364,1242463,14848,294,354,578,1189,2324,1731,2200,9892,3036,12782,12395,14933,18242,15941,283361,43188,93059,192857,130043,258291,92723,21949,16253,754063,669255,52114,12539,39575,14538,1870,12668,11807,3771,8036,6349,1799,4550,59116,754063,69211,684852,31101,1483161,1035610,1030381,993836,36545,5229,447551,830749,830749,754063,76686,76686,14921,2558,5535,3094,16326,125,34127,830749,13735,23399,97849,96148,78039,133046,93514,79304,40552,175163,1972,805,147800,"Nebraska",0,0,35,436,1204,563,886,199,413,1567,240,1554,36,2776,457,584,132,132,2494,968,715,599,3351,3339,3202,2037,1797,776,550,420,198,485,477,76,65,27,70,171,207,499,895,553,1256,3541,1585,2455,2454,2535,2314,1385,1620,607,783,1021,844,595,2749,2568,2831,1722,990,1519,2257,2232,1132,734,855,180,133,259,278,357,316,334,697,423,783,679,749,924,760,2752,1163,1642,2336,1934,2903,1926,866,739,2749,2692,909,756,957,705,311,658,507,371,534,575,347,504,346,2749,1635,3086,174,874,3066,3112,3343,1153,416,2964,533,533,2749,2467,2467,985,429,476,412,730,72,1323,533,775,828,1542,1513,1522,1948,1602,1724,1124,1992,1,5,811
"G320","2014-2018",,,"Nevada","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nevada",2922849,2922849,2091252,1458093,249967,26355,229928,17703,8693,100513,2615,97898,831597,477010,11156,9490,4765,1649,287541,39986,20827,19159,1351950,1196476,1056958,139518,106309,19212,7113,4757,2127,46574,45986,204,270,45,69,936,4435,5242,25750,18999,53538,1298412,28014,104028,173322,217044,240426,108287,218430,33613,42016,65367,40854,27011,1075930,683185,477255,205930,68216,137714,392745,307649,85096,2001450,32255,399,619,1091,2473,6471,4203,7284,35153,7743,16212,32977,31574,42967,52742,483098,80131,149930,365081,163699,317510,116743,32676,18419,1075930,749504,205840,46238,159602,37345,4846,32499,70937,12855,58082,12304,2324,9980,57598,1075930,139681,936249,29961,2322826,1480282,1472351,1370603,101748,7931,842544,1235096,1235096,1075930,159166,159166,42205,7473,12991,5935,47497,227,42838,1235096,24960,37471,349632,336038,191574,159093,73420,35228,14006,13674,1994,1060,242400,"Nevada",0,0,0,837,2226,823,2146,556,1072,3351,429,3338,0,5643,1164,1197,737,379,6142,2349,1599,1660,5308,6053,6487,3740,3067,1267,804,641,358,2048,2064,119,118,42,50,220,495,582,1334,1151,1663,5517,1335,2453,3653,4123,3826,2273,3963,1292,1745,1917,1709,1460,3357,3919,4060,2948,2058,2599,3477,3146,1707,398,1366,142,206,250,387,711,440,709,1555,666,1071,1410,1348,1474,1450,4928,2011,3131,4538,2531,4126,2379,1050,771,3357,3512,1932,1626,1975,1143,473,970,1319,732,1258,763,314,693,408,3357,2171,3616,212,992,5033,5092,5233,2436,594,5160,330,330,3357,3468,3468,1685,684,934,670,1665,115,1710,330,1082,1456,2882,2716,2808,2099,1626,1030,857,855,1,5,1169
"G330","2014-2018",,,"New Hampshire","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Hampshire",1343622,1343622,1295266,1214547,17622,1838,35848,270,1323,23818,845,22973,48356,35467,2894,252,276,89,5306,4072,1812,2260,707037,627473,571653,55820,44710,7034,2554,932,590,5806,4727,161,204,654,60,604,977,1833,19003,6079,45262,661775,23984,70473,89620,91817,87671,44781,81085,22713,28373,55194,43203,22861,528078,348905,277398,71507,23544,47963,179173,137426,41747,952115,5568,147,182,121,187,506,463,805,1809,2317,9071,8978,12884,12956,11613,223340,39665,58100,119591,96387,213277,101226,19032,13890,528078,474805,13126,2312,10814,28091,2845,25246,9119,1977,7142,2937,490,2447,74057,528078,42279,485799,38548,1114817,756239,754409,724017,30392,1830,358578,630955,630955,528078,102877,102877,6780,2329,5056,1476,70792,260,16184,630955,6635,11478,76646,66688,126510,93134,54721,44290,23638,127215,1977,1077,252800,"New Hampshire",0,0,209,471,722,290,770,86,407,1031,268,1021,209,1250,661,122,145,122,734,665,429,555,3405,3488,3254,1785,1384,756,472,287,165,627,584,129,83,186,38,174,243,308,1005,561,1460,3331,1201,2178,2234,2065,1904,1454,2291,884,1172,1599,1473,995,2194,2183,2717,1789,1100,1537,2057,1998,1368,482,477,82,114,98,103,183,190,187,327,391,646,770,978,788,694,3307,1430,1607,2320,1728,2907,2199,1035,768,2194,2527,652,354,670,977,349,973,565,305,547,292,181,267,714,2194,1270,2463,276,733,2710,2735,3050,1273,297,2811,362,362,2194,2023,2023,646,421,669,282,1577,155,1019,362,528,734,1711,1819,2134,2111,1431,1256,983,2126,1,8,1499
"G340","2014-2018",,,"New Jersey","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Jersey",8881845,8881845,7113825,4960005,1129257,9599,826944,2255,36881,148884,14595,134289,1768020,1071742,67507,9050,5459,1102,531095,82065,38672,43393,4303118,3416225,3071526,344699,250730,49270,21321,13770,9608,494549,266138,3918,88728,125090,10675,14179,2305,12560,125663,49207,188430,4114688,83431,315877,474915,513929,539713,255559,548013,129228,195614,406635,436834,214940,3213362,2222368,1646548,575820,155843,419977,990994,829344,161650,6129542,82079,1358,1033,2798,6446,14158,17306,23073,63435,22576,68955,64541,80568,89509,103278,1530024,153544,309670,710066,401069,1457910,671274,158342,96530,3213362,2180784,506356,132552,373804,304391,50350,254041,164754,35826,128928,57077,7452,49625,79363,3213362,311025,2902337,40895,7142175,4684112,4675686,4390602,285084,8426,2458063,3605401,3605401,3213362,392039,392039,63742,11040,35674,14553,135527,231,131272,3605401,36833,58133,331184,345546,422893,456230,487733,539274,265576,661999,1967,1295,327900,"New Jersey",0,0,0,1670,3129,636,2549,218,2145,3773,1296,3467,0,10049,2926,1310,752,361,10446,3589,2119,2698,9142,9614,8945,5727,4277,1936,1329,1214,793,5347,4126,483,2140,2620,704,1161,396,883,2931,1810,3281,9339,2397,4679,4625,5088,5821,4017,5164,2475,3430,4779,4885,3456,6651,7874,9559,5695,3140,4358,5740,5601,2523,409,2355,251,201,416,618,1116,1146,1221,2623,1342,2209,1959,2047,2235,2454,12472,2942,5139,5755,4375,8080,5993,2247,2131,6651,6288,3114,2039,3183,3176,1499,3139,2354,1417,2061,1607,674,1557,386,6651,3741,7917,197,1961,9112,9044,8968,4204,624,9168,471,471,6651,6520,6520,2516,879,1901,1099,2072,113,3554,471,1429,1635,3379,3594,3724,3887,4509,4375,3793,4463,1,4,841
"G350","2014-2018",,,"New Mexico","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Mexico",2092434,2092434,1076683,788308,38016,183408,29571,1046,4056,32278,1754,30524,1015751,770578,4990,16488,1942,468,186055,35230,21998,13232,880271,794374,706167,88207,65854,12845,5113,2906,1489,10139,8942,77,72,1006,42,192,2269,5802,18023,7004,42468,837803,31364,109196,143631,153515,127187,46670,98136,16676,20934,45105,29757,15632,775651,492776,342830,149946,44469,105477,282875,236373,46502,1394280,17383,404,325,782,2016,5977,3606,5358,24840,7415,18617,27363,32409,36887,22176,303626,64861,85994,241381,114664,213129,116002,23589,25476,775651,469523,241993,34144,207849,13039,1204,11835,8797,1523,7274,42299,4336,37963,48059,775651,135205,640446,26085,1655769,960566,951105,882735,68370,9461,695203,932818,932818,775651,157167,157167,24306,4727,12441,4090,52714,673,58216,932818,11722,22074,145017,165868,158952,163590,95948,89687,37994,41966,1982,828,166800,"New Mexico",0,0,0,639,1067,1162,1019,227,640,1896,344,1831,0,5165,803,1396,502,217,4861,1841,1653,1250,4169,4581,4697,2566,1966,847,604,560,277,947,917,63,50,219,41,83,306,579,1145,726,1598,4186,1501,2640,3430,3272,2541,2109,2710,836,1134,1503,1292,1102,3254,3146,3353,2598,1540,2138,3530,3350,1477,951,1035,170,113,230,294,667,518,490,1336,655,1192,1592,1391,1328,1205,4251,1934,2333,4081,2737,3285,2409,1007,1008,3254,3322,2646,1167,2828,720,215,702,541,270,519,978,333,931,438,3254,2317,3584,196,1051,4009,4042,4295,1779,703,4033,246,246,3254,3189,3189,1301,591,939,525,1444,210,1796,246,802,1066,2493,2800,2505,2545,1808,1839,1415,1288,1,6,766
"G360","2014-2018",,,"New York","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New York",19618453,19618453,15912865,10959534,2808679,46139,1616028,5591,105032,371862,36006,335856,3705588,1555415,259420,33505,14313,2426,1613188,227321,110578,116743,9246571,5515207,4913896,601311,457762,78364,34011,18855,12319,2591512,533192,9868,1773088,263228,12136,55560,6891,63313,569444,55475,389169,8857402,203000,635275,907298,1027826,1078590,485334,1240381,267391,459429,968168,1080690,504020,7316537,4634204,3232009,1402195,363682,1038513,2682333,2176387,505946,13606342,264723,3031,4148,9451,19555,40742,39372,70458,159361,65241,181095,202510,226380,251883,301899,3020851,535400,634196,1503643,1184265,2748577,1541679,390755,207127,7316537,5037530,1075160,285857,789303,708624,151777,556847,366892,135268,231624,128331,20489,107842,65323,7316537,1150522,6166015,37470,15951997,10070138,10047659,9445023,602636,22479,5881859,8287087,8287087,7316537,970550,970550,152802,40064,68359,39976,342825,2331,324193,8287087,56767,119495,527578,513370,629850,824435,1040166,1215468,690197,2669761,1956,1240,302200,"New York",0,0,0,2748,4596,1401,4456,677,4281,6041,2037,5745,0,15982,6235,2773,1319,482,19089,5982,3707,4876,17007,14291,12163,6929,5893,2208,1679,1183,1006,10583,6107,1003,9093,4434,915,2043,572,1966,6975,2124,4691,17393,3524,5682,6242,7308,6820,5732,8225,3812,4519,8318,7348,5396,13711,14232,16737,7797,4674,5683,8450,8014,4759,993,4382,409,495,981,1102,1777,1733,2395,3117,2159,3716,3972,3370,3260,4154,18941,5410,6632,9534,7082,13037,11903,4403,3702,13711,13278,5015,4102,5783,5137,2603,4622,3473,1970,3983,2516,1006,2164,270,13711,6395,15097,160,3114,16166,15991,16653,5934,957,16009,779,779,13711,13511,13511,3779,1999,2431,2086,3972,324,6307,779,1594,2341,4339,5152,5086,5596,5668,6365,4635,9723,1,3,965
"G370","2014-2018",,,"North Carolina","37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Carolina",10155624,10155624,9219674,6433039,2146254,111360,280059,5677,22615,220670,6741,213929,935950,561201,33368,9992,2205,1262,285291,42631,20971,21660,4660377,4215826,3781646,434180,332418,59507,21656,12289,8310,47381,42455,832,2523,1233,338,4815,5761,9824,85152,38580,253038,4407339,122655,425613,642470,756018,690641,314595,584890,140001,149695,313561,181850,85350,3918597,2573526,1886087,687439,173471,513968,1345071,1113548,231523,6881774,82023,1414,1111,2743,6552,13638,11810,20517,56376,36594,90138,135505,162954,155026,93465,1482960,297293,434625,1045166,652658,1345846,543580,116857,92923,3918597,3473080,265212,65550,199662,88354,9059,79295,68223,14290,53933,23728,3650,20078,52413,3918597,532211,3386386,29456,8124899,5071505,4978432,4665822,312610,93073,3053394,4573066,4573066,3918597,654469,654469,103950,21738,49548,19826,211487,1392,246528,4573066,95165,167882,909326,916879,716715,630915,411647,321510,162889,240138,1987,877,165900,"North Carolina",0,0,99,1516,4749,1289,1938,507,2111,5381,769,5344,99,7378,2505,1362,418,373,7367,2446,1699,1623,10612,10901,10302,5585,4955,2235,1457,1022,767,1439,1402,208,359,243,128,611,537,794,2360,1817,4192,10812,2945,4063,6113,5955,5315,4382,5596,3011,2874,4040,3292,2600,8585,10078,11207,5257,3676,4306,5616,5643,3232,1458,2058,297,260,353,653,931,895,1015,1999,1653,2099,3253,3745,3506,2131,9928,3964,6252,9052,5984,10152,6224,2519,2421,8585,8067,2818,1841,2854,1948,686,1894,1607,840,1420,1032,604,932,224,8585,4951,10098,143,2216,10381,9823,9863,4656,1739,10103,829,829,8585,9156,9156,3241,1300,1943,1231,2839,338,4827,829,2180,2637,6167,7025,5955,4574,4109,3961,2890,3203,1,3,470
"G380","2014-2018",,,"North Dakota","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Dakota",752201,752201,725672,639477,20113,38308,10664,366,972,15772,201,15571,26529,15791,332,1154,150,12,6556,2534,996,1538,398937,359759,325252,34507,25195,5439,2152,1043,678,2150,1980,40,21,74,35,302,358,1485,13631,2329,18923,380014,32066,78502,87469,76029,40164,11587,20110,3269,4284,10140,9535,6859,314903,188288,151214,37074,13122,23952,126615,98845,27770,490233,3019,59,93,33,105,185,178,311,851,855,10014,3654,5735,6201,5501,113235,18029,30831,79736,67212,105552,26902,6962,4980,314903,289908,7257,728,6529,10418,1552,8866,2792,393,2399,4528,984,3544,63473,314903,23671,291232,35373,595742,418604,412530,400841,11689,6074,177138,367684,367684,314903,52781,52781,12502,2694,3054,1297,15898,858,16478,367684,17720,27117,45465,39223,41905,65909,33362,32365,15983,48635,1978,806,185000,"North Dakota",0,0,106,485,767,687,497,154,499,1072,94,1065,107,969,130,290,84,19,860,581,388,418,2364,2175,2323,1105,905,580,355,203,163,322,316,42,16,80,22,142,99,322,726,316,877,2139,932,2121,2369,2038,1319,680,926,307,362,577,740,483,1937,1839,1719,1299,776,1004,1999,1875,1133,659,387,62,67,32,58,65,104,150,197,199,599,417,454,515,474,1811,864,1058,1674,1537,1858,991,689,427,1937,2099,483,224,502,667,277,659,351,125,328,562,261,496,688,1937,824,2150,404,569,2028,1989,2200,913,425,1933,692,692,1937,1577,1577,1058,521,412,314,732,219,823,692,980,1265,1309,1082,1397,1221,884,906,733,964,1,7,1885
"G390","2014-2018",,,"Ohio","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ohio",11641879,11641879,11210552,9220638,1418048,17723,247987,3055,18848,284253,6890,277363,431327,269194,20223,5840,1754,536,90944,42836,19844,22992,5442764,4949445,4526389,423056,330803,51988,18620,12959,8686,87570,83286,954,2231,613,486,5501,4616,16359,121728,37230,220315,5222449,177666,570975,752233,848856,838746,425253,658730,173013,183893,330062,178560,84462,4654075,2953760,2145423,808337,219756,588581,1700315,1410748,289567,7937085,68548,1077,887,1370,2928,5768,5063,7014,18245,18715,93705,91594,154583,189952,126711,2333362,306116,543607,1080640,681630,1370810,613112,133086,88562,4654075,4284627,125471,21911,103560,136570,19718,116852,61450,14303,47147,45957,8957,37000,54533,4654075,665302,3988773,30304,9332790,5901307,5892809,5549577,343232,8498,3431483,5188270,5188270,4654075,534195,534195,96114,24026,49171,23622,58032,528,282702,5188270,45961,78298,501604,614813,466027,741153,632105,732973,324252,1051084,1968,788,140000,"Ohio",0,0,293,1492,4353,953,2081,386,1650,4991,1053,4692,293,3668,1463,893,329,172,3558,1974,1438,1665,10571,11535,11184,5284,4411,1923,1195,970,656,2477,2429,166,277,162,139,574,427,1064,2631,1565,3500,10920,3141,5073,5655,5766,6545,4069,4967,3147,3581,3763,2741,1982,10201,9256,11965,6827,3290,5595,6649,6674,3254,1257,1895,215,174,251,428,750,522,678,1084,884,1818,2302,3187,3645,2721,12355,4400,5849,8323,5868,8890,6717,2398,2027,10201,9844,1631,845,1722,2059,971,1834,1620,739,1350,1576,910,1226,167,10201,5640,12233,124,2246,8712,8704,9628,4748,589,8402,617,617,10201,10078,10078,2923,1442,2094,1323,1840,170,5581,617,1395,1931,4194,5119,4282,5110,4582,4673,3627,5406,1,2,396
